name,hp,Torque
Ferrari SF90 Stradale,986 hp,590 lb-ft
Lamborghini Aventador SVJ,759 hp,531 lb-ft
McLaren P1,903 hp,664 lb-ft
Porsche 911 Turbo S,640 hp,590 lb-ft
Bugatti Chiron,1479 hp,1180 lb-ft
Koenigsegg Jesko,1280 hp,1106 lb-ft
Pagani Huayra BC,791 hp,775 lb-ft
Aston Martin Valkyrie,1160 hp,664 lb-ft
Ford GT,660 hp,550 lb-ft
Chevrolet Corvette ZR1,755 hp,715 lb-ft
Tesla Roadster,1000 hp,376 lb-ft
Ferrari F8 Tributo,710 hp,568 lb-ft
Lamborghini Huracan EVO,631 hp,443 lb-ft
McLaren 720S,710 hp,568 lb-ft
Porsche 918 Spyder,887 hp,944 lb-ft
Bugatti Veyron,1200 hp,1106 lb-ft
Koenigsegg Agera RS,1341 hp,1011 lb-ft
Pagani Zonda Cinque,678 hp,575 lb-ft
Aston Martin DBS Superleggera,715 hp,664 lb-ft
Mercedes-AMG One,1063 hp,663 lb-ft
